Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-01 00:00:00-05:00,128.92425141850737,145.69785971274828,122.8778339926778,142.7884521484375,1443652500,0.0,0.0
2023-02-01 00:00:00-05:00,142.47175771806081,155.74220834351803,139.84934134539242,145.87596130371094,1307198900,0.23,0.0
2023-03-01 00:00:00-05:00,145.52387085437698,163.53223722356282,142.6199268990856,163.43312072753906,1520266600,0.0,0.0
2023-04-01 00:00:00-04:00,162.80872976220874,168.3390943239458,158.3586654050245,168.17059326171875,969709700,0.0,0.0
2023-05-01 00:00:00-04:00,167.7741453103427,177.7545735019355,162.84835541781106,175.67324829101562,1275155500,0.24,0.0
2023-06-01 00:00:00-04:00,176.36287346335646,193.01660926668555,175.5986631740911,192.5104522705078,1297101100,0.0,0.0
2023-07-01 00:00:00-04:00,192.3218790363853,196.73839147411553,185.19591303590835,194.97178649902344,996066400,0.0,0.0
2023-08-01 00:00:00-04:00,194.76335788592615,195.24966108969116,170.66605886762392,186.45632934570312,1322439400,0.24,0.0
2023-09-01 00:00:00-04:00,188.31813294801435,188.80509291120666,166.58337437413178,170.15118408203125,1337586600,0.0,0.0
2023-10-01 00:00:00-04:00,170.16109640227933,181.21232025252087,164.64541717327512,169.71388244628906,1172719600,0.0,0.0
2023-11-01 00:00:00-04:00,169.9424523939028,191.73681927286535,169.06788989154163,188.77525329589844,1099586100,0.24,0.0
2023-12-01 00:00:00-05:00,189.4021132690651,198.6468163832427,186.5361488610255,191.5913848876953,1062774800,0.0,0.0
